Para analizar los resultados pueden hacer una copia (Archivo > Crear una copia) o bajar los csv de cada país (Archivo > Descargar como),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recuerden calificar empresas en www.openqube.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Me identifico,Tengo,Dónde estás trabajando,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,Trabajo de,Plataformas,Lenguajes de programación,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,¿Qué SO usás en tu laptop/PC para trabajar?,¿Y en tu celular?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual BRUTO (en tu moneda local),Salario mensual NETO (en tu moneda local),¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2018?,¿De qué % fue el ajuste?,¿En qué mes fue el último ajuste?,¿Sufriste o presenciaste situaciones de violencia laboral?,Orientación sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿A qué eventos de tecnología asististe en el último año?,Cantidad de empleados,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,¿A cuántos kilómetros de tu casa queda la oficina?,Beneficios extra
Hombre,30,Chaco,8,8,8,0,Universitario,Completado,Ingeniería en sistemas de información,UTN,No,No,Sí,Developer,Windows Server,".NET, C#, HTML, Javascript, Poder builder",Angular,MSSQL,,"Visual Studio, Power builder",Windows,Android,No,0,Neto,Part-Time,25372,22000,3,2,No,No recibo bono,Dos,15,10,Jamás,Heterosexual,,,,11-50,Servicios / Consultoría de Software / Digital,8,9,20,Ninguna de las anteriores
Hombre,40,Chaco,7,7,7,0,Terciario,En curso,Profesorado,Terciaria,"Sí, de forma particular",No,No,Asesor,Windows Server,"HTML, Java",Django,MySQL,OpenQA,Notepad++,Windows,Android,No,0,Porcentaje de mi sueldo,Part-Time,16000,14000,3,3,No,No recibo bono,Dos,2,2,Jamás,Heterosexual,Visual,No,Ninguna,1001-2000,Servicios / Consultoría de Software / Digital,8,5,5,Horarios flexibles
Hombre,34,Chaco,12,10,10,0,Universitario,Incompleto,INGENIERIA EN SISTEMAS,UTN,"Sí, de forma particular",No,No,Developer,"Linux, VMWare, Windows Server",GENEXUS,,Oracle,,,Windows,Android,No,0,Bruto,Full-Time,38000,32000,3,3,No,No recibo bono,Más de dos,25,12,Jamás,Heterosexual,,,,1-10,Servicios / Consultoría de Software / Digital,7,5,0.5,Ninguna de las anteriores
Mujer,25,Chaco,0,0,0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN FRRe,"Sí, de forma particular",No,No,QA / Tester,,"SQL, Power Builder",,MSSQL,Redmine,,Windows,Android,No,0,Porcentaje de mi sueldo,Part-Time,9300,9300,3,2,No,No recibo bono,No,0,0,Jamás,Heterosexual,,,,11-50,Producto basado en Software,6,8,6,Horarios flexibles
Hombre,23,Chaco,3,3,3,0,Secundario,Completado,Tecnico En Informática Profesional y Personal ,,"Sí, de forma particular",No,No,"Ventas, Atención al público, Repositor","Google Cloud Platform/App Engine, Windows Server","C, C++, HTML, Java, SQL",,MySQL,,Visual Studio,Windows,Android,No,0,Neto,Part-Time,9120,8000,2,1,Menos de un sueldo,Performance individual,No,0,0,Jamás,Heterosexual,Visual,No,,1-10,Otras industrias,7,7,3,Ninguna de las anteriores
Hombre,23,Chaco,2,0,0,0,Universitario,Incompleto,ING en sistemas,UNCAus,"Sí, los pagó un empleador",Sí,Sí,Developer,"Heroku, Linux","HTML, Python, Ruby, SQL","Django, Rails","PostgreSQL, SQLite",,"Nano, Sublime Text",Linux,Android,No,0,Neto,Freelance,5500,5500,1,3,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,,Robotec,1-10,Producto basado en Software,6,6,-1,Ninguna de las anteriores
Hombre,23,Chaco,2,0,0,0,Universitario,Incompleto,ING en sistemas,UNCAus,"Sí, los pagó un empleador",Sí,Sí,Developer,Heroku,"Python, Ruby, SQL","Django, Rails","PostgreSQL, SQLite",,Sublime Text,Linux,Android,No,0,Neto,Freelance,5500,5500,1,2,No,No recibo bono,No,0,0,En un trabajo anterior,Heterosexual,,No,Robotec,1-10,Producto basado en Software,6,6,-1,Ninguna de las anteriores
Hombre,39,Chubut,10,10,10,3,Universitario,Completado,Lic en informatica,Unpsjb,"Sí, de forma particular",No,Sí,Developer,"Firebase, Linux",Java,"Angular, Cordova, React.js",MySQL,,Eclipse,Windows,Android,No,0,Porcentaje de mi sueldo,Full-Time,60000,60000,3,2,Menos de un sueldo,General ,Uno,27,10,Jamás,Heterosexual,,,,1-10,Otras industrias,7,4,1,Sin incentivos
Hombre,37,Chubut,19,6,6,0,Universitario,Completado,Redes y Telecomunicaciones,Instituto Tecnologico Universitario,"Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Firebase, Windows Server, Xenserver","Bash/Shell, C, CSS, HTML, Java, Javascript, Perl, PHP, Python, SQL, VBA, Delphy","Angular, Drupal, Node.js, React.js, WordPress","MSSQL, MySQL, PostgreSQL, SQLite, Firebase",Visual Studio Coded UI,"Eclipse, Notepad++, Vi, Visual Studio, Zend",Windows,Android,"Sí, pasiva",7200,Bruto,Full-Time,42478,44769,1,1,No,No recibo bono,No,0,0,Jamás,Heterosexual,,No,Proveedor tecnologia,1001-2000,Otras industrias,5,8,5,"Capacitaciones y/o cursos, Horarios flexibles"
Hombre,41,Chubut,20,5,5,15,Universitario,Incompleto,Sistemas,Matanza,"Sí, de forma particular",No,No,Manager / Director,Linux,"SQL, VBA",,"MySQL, PostgreSQL",,,Windows,iOS,"Sí, pasiva",0,Neto,Full-Time,70000,,3,2,No,No recibo bono,No,0,3,Jamás,Heterosexual,,No,Pulso IT - lacnic,11-50,Otras industrias,9,9,1,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles"
